"date","value","id"
"2020-01-30",1,"faelle_sars_cov2_CH"
"2020-02-01",0,"faelle_sars_cov2_CH"
"2020-02-02",0,"faelle_sars_cov2_CH"
"2020-02-03",0,"faelle_sars_cov2_CH"
"2020-02-04",0,"faelle_sars_cov2_CH"
"2020-02-05",0,"faelle_sars_cov2_CH"
"2020-02-06",0,"faelle_sars_cov2_CH"
"2020-02-07",0,"faelle_sars_cov2_CH"
"2020-02-08",0,"faelle_sars_cov2_CH"
"2020-02-09",0,"faelle_sars_cov2_CH"
"2020-02-10",0,"faelle_sars_cov2_CH"
"2020-02-11",0,"faelle_sars_cov2_CH"
"2020-02-12",0,"faelle_sars_cov2_CH"
"2020-02-13",0,"faelle_sars_cov2_CH"
"2020-02-14",0,"faelle_sars_cov2_CH"
"2020-02-15",0,"faelle_sars_cov2_CH"
"2020-02-16",0,"faelle_sars_cov2_CH"
"2020-02-17",0,"faelle_sars_cov2_CH"
"2020-02-18",0,"faelle_sars_cov2_CH"
"2020-02-19",0,"faelle_sars_cov2_CH"
"2020-02-20",0,"faelle_sars_cov2_CH"
"2020-02-21",0,"faelle_sars_cov2_CH"
"2020-02-22",0,"faelle_sars_cov2_CH"
"2020-02-23",0,"faelle_sars_cov2_CH"
"2020-02-24",0,"faelle_sars_cov2_CH"
"2020-02-25",0,"faelle_sars_cov2_CH"
"2020-02-26",6,"faelle_sars_cov2_CH"
"2020-02-27",7,"faelle_sars_cov2_CH"
"2020-02-28",10,"faelle_sars_cov2_CH"
"2020-02-29",13,"faelle_sars_cov2_CH"
"2020-03-01",7,"faelle_sars_cov2_CH"
"2020-03-02",21,"faelle_sars_cov2_CH"
"2020-03-03",15,"faelle_sars_cov2_CH"
"2020-03-04",37,"faelle_sars_cov2_CH"
"2020-03-05",50,"faelle_sars_cov2_CH"
"2020-03-06",83,"faelle_sars_cov2_CH"
"2020-03-07",53,"faelle_sars_cov2_CH"
"2020-03-08",47,"faelle_sars_cov2_CH"
"2020-03-09",85,"faelle_sars_cov2_CH"
"2020-03-10",164,"faelle_sars_cov2_CH"
"2020-03-11",267,"faelle_sars_cov2_CH"
"2020-03-12",353,"faelle_sars_cov2_CH"
"2020-03-13",347,"faelle_sars_cov2_CH"
"2020-03-14",428,"faelle_sars_cov2_CH"
"2020-03-15",326,"faelle_sars_cov2_CH"
"2020-03-16",814,"faelle_sars_cov2_CH"
"2020-03-17",837,"faelle_sars_cov2_CH"
"2020-03-18",1084,"faelle_sars_cov2_CH"
"2020-03-19",1029,"faelle_sars_cov2_CH"
"2020-03-20",1194,"faelle_sars_cov2_CH"
"2020-03-21",882,"faelle_sars_cov2_CH"
"2020-03-22",586,"faelle_sars_cov2_CH"
"2020-03-23",1246,"faelle_sars_cov2_CH"
"2020-03-24",1154,"faelle_sars_cov2_CH"
"2020-03-25",1112,"faelle_sars_cov2_CH"
"2020-03-26",1021,"faelle_sars_cov2_CH"
"2020-03-27",1390,"faelle_sars_cov2_CH"
"2020-03-28",773,"faelle_sars_cov2_CH"
"2020-03-29",592,"faelle_sars_cov2_CH"
"2020-03-30",1088,"faelle_sars_cov2_CH"
"2020-03-31",1018,"faelle_sars_cov2_CH"
"2020-04-01",1052,"faelle_sars_cov2_CH"
"2020-04-02",992,"faelle_sars_cov2_CH"
"2020-04-03",964,"faelle_sars_cov2_CH"
"2020-04-04",561,"faelle_sars_cov2_CH"
"2020-04-05",408,"faelle_sars_cov2_CH"
"2020-04-06",723,"faelle_sars_cov2_CH"
"2020-04-07",676,"faelle_sars_cov2_CH"
"2020-04-08",673,"faelle_sars_cov2_CH"
"2020-04-09",587,"faelle_sars_cov2_CH"
"2020-04-10",414,"faelle_sars_cov2_CH"
"2020-04-11",414,"faelle_sars_cov2_CH"
"2020-04-12",237,"faelle_sars_cov2_CH"
"2020-04-13",237,"faelle_sars_cov2_CH"
"2020-04-14",376,"faelle_sars_cov2_CH"
"2020-04-15",310,"faelle_sars_cov2_CH"
"2020-04-16",297,"faelle_sars_cov2_CH"
"2020-04-17",284,"faelle_sars_cov2_CH"
"2020-04-18",217,"faelle_sars_cov2_CH"
"2020-04-19",167,"faelle_sars_cov2_CH"
"2020-04-20",219,"faelle_sars_cov2_CH"
"2020-04-21",178,"faelle_sars_cov2_CH"
"2020-04-22",204,"faelle_sars_cov2_CH"
"2020-04-23",205,"faelle_sars_cov2_CH"
"2020-04-24",164,"faelle_sars_cov2_CH"
"2020-04-25",135,"faelle_sars_cov2_CH"
"2020-04-26",79,"faelle_sars_cov2_CH"
"2020-04-27",151,"faelle_sars_cov2_CH"
"2020-04-28",128,"faelle_sars_cov2_CH"
"2020-04-29",142,"faelle_sars_cov2_CH"
"2020-04-30",132,"faelle_sars_cov2_CH"
"2020-05-01",112,"faelle_sars_cov2_CH"
"2020-05-02",64,"faelle_sars_cov2_CH"
"2020-05-03",48,"faelle_sars_cov2_CH"
"2020-05-04",54,"faelle_sars_cov2_CH"
"2020-05-05",58,"faelle_sars_cov2_CH"
"2020-05-06",88,"faelle_sars_cov2_CH"
"2020-05-07",65,"faelle_sars_cov2_CH"
"2020-05-08",59,"faelle_sars_cov2_CH"
"2020-05-09",44,"faelle_sars_cov2_CH"
"2020-05-10",26,"faelle_sars_cov2_CH"
"2020-05-11",57,"faelle_sars_cov2_CH"
"2020-05-12",40,"faelle_sars_cov2_CH"
"2020-05-13",46,"faelle_sars_cov2_CH"
"2020-05-14",42,"faelle_sars_cov2_CH"
"2020-05-15",46,"faelle_sars_cov2_CH"
"2020-05-16",23,"faelle_sars_cov2_CH"
"2020-05-17",16,"faelle_sars_cov2_CH"
"2020-05-18",27,"faelle_sars_cov2_CH"
"2020-05-19",33,"faelle_sars_cov2_CH"
"2020-05-20",35,"faelle_sars_cov2_CH"
"2020-05-21",28,"faelle_sars_cov2_CH"
"2020-05-22",18,"faelle_sars_cov2_CH"
"2020-05-23",17,"faelle_sars_cov2_CH"
"2020-05-24",9,"faelle_sars_cov2_CH"
"2020-05-25",10,"faelle_sars_cov2_CH"
"2020-05-26",21,"faelle_sars_cov2_CH"
"2020-05-27",17,"faelle_sars_cov2_CH"
"2020-05-28",19,"faelle_sars_cov2_CH"
"2020-05-29",30,"faelle_sars_cov2_CH"
"2020-05-30",16,"faelle_sars_cov2_CH"
"2020-05-31",11,"faelle_sars_cov2_CH"
"2020-06-01",3,"faelle_sars_cov2_CH"
"2020-06-02",18,"faelle_sars_cov2_CH"
"2020-06-03",17,"faelle_sars_cov2_CH"
"2020-06-04",26,"faelle_sars_cov2_CH"
"2020-06-05",19,"faelle_sars_cov2_CH"
"2020-06-06",15,"faelle_sars_cov2_CH"
"2020-06-07",9,"faelle_sars_cov2_CH"
"2020-06-08",22,"faelle_sars_cov2_CH"
"2020-06-09",10,"faelle_sars_cov2_CH"
"2020-06-10",23,"faelle_sars_cov2_CH"
"2020-06-11",21,"faelle_sars_cov2_CH"
"2020-06-12",26,"faelle_sars_cov2_CH"
"2020-06-13",15,"faelle_sars_cov2_CH"
"2020-06-14",16,"faelle_sars_cov2_CH"
"2020-06-15",24,"faelle_sars_cov2_CH"
"2020-06-16",26,"faelle_sars_cov2_CH"
"2020-06-17",24,"faelle_sars_cov2_CH"
"2020-06-18",17,"faelle_sars_cov2_CH"
"2020-06-19",29,"faelle_sars_cov2_CH"
"2020-06-20",36,"faelle_sars_cov2_CH"
"2020-06-21",15,"faelle_sars_cov2_CH"
"2020-06-22",36,"faelle_sars_cov2_CH"
"2020-06-23",34,"faelle_sars_cov2_CH"
"2020-06-24",62,"faelle_sars_cov2_CH"
"2020-06-25",46,"faelle_sars_cov2_CH"
"2020-06-26",74,"faelle_sars_cov2_CH"
"2020-06-27",41,"faelle_sars_cov2_CH"
"2020-06-28",37,"faelle_sars_cov2_CH"
"2020-06-29",88,"faelle_sars_cov2_CH"
"2020-06-30",115,"faelle_sars_cov2_CH"
"2020-07-01",123,"faelle_sars_cov2_CH"
"2020-07-02",146,"faelle_sars_cov2_CH"
"2020-07-03",100,"faelle_sars_cov2_CH"
"2020-07-04",48,"faelle_sars_cov2_CH"
"2020-07-05",46,"faelle_sars_cov2_CH"
"2020-07-06",84,"faelle_sars_cov2_CH"
"2020-07-07",104,"faelle_sars_cov2_CH"
"2020-07-08",103,"faelle_sars_cov2_CH"
"2020-07-09",95,"faelle_sars_cov2_CH"
"2020-07-10",96,"faelle_sars_cov2_CH"
"2020-07-11",77,"faelle_sars_cov2_CH"
"2020-07-12",53,"faelle_sars_cov2_CH"
"2020-07-13",97,"faelle_sars_cov2_CH"
"2020-07-14",123,"faelle_sars_cov2_CH"
"2020-07-15",143,"faelle_sars_cov2_CH"
"2020-07-16",104,"faelle_sars_cov2_CH"
"2020-07-17",117,"faelle_sars_cov2_CH"
"2020-07-18",64,"faelle_sars_cov2_CH"
"2020-07-19",39,"faelle_sars_cov2_CH"
"2020-07-20",101,"faelle_sars_cov2_CH"
"2020-07-21",140,"faelle_sars_cov2_CH"
"2020-07-22",121,"faelle_sars_cov2_CH"
"2020-07-23",142,"faelle_sars_cov2_CH"
"2020-07-24",150,"faelle_sars_cov2_CH"
"2020-07-25",98,"faelle_sars_cov2_CH"
"2020-07-26",36,"faelle_sars_cov2_CH"
"2020-07-27",149,"faelle_sars_cov2_CH"
"2020-07-28",162,"faelle_sars_cov2_CH"
"2020-07-29",232,"faelle_sars_cov2_CH"
"2020-07-30",213,"faelle_sars_cov2_CH"
"2020-07-31",150,"faelle_sars_cov2_CH"
"2020-08-01",135,"faelle_sars_cov2_CH"
"2020-08-02",73,"faelle_sars_cov2_CH"
"2020-08-03",137,"faelle_sars_cov2_CH"
"2020-08-04",146,"faelle_sars_cov2_CH"
"2020-08-05",198,"faelle_sars_cov2_CH"
"2020-08-06",143,"faelle_sars_cov2_CH"
"2020-08-07",165,"faelle_sars_cov2_CH"
"2020-08-08",120,"faelle_sars_cov2_CH"
"2020-08-09",89,"faelle_sars_cov2_CH"
"2020-08-10",207,"faelle_sars_cov2_CH"
"2020-08-11",280,"faelle_sars_cov2_CH"
"2020-08-12",232,"faelle_sars_cov2_CH"
"2020-08-13",278,"faelle_sars_cov2_CH"
"2020-08-14",215,"faelle_sars_cov2_CH"
"2020-08-15",195,"faelle_sars_cov2_CH"
"2020-08-16",112,"faelle_sars_cov2_CH"
"2020-08-17",218,"faelle_sars_cov2_CH"
"2020-08-18",271,"faelle_sars_cov2_CH"
"2020-08-19",306,"faelle_sars_cov2_CH"
